Disease,1,2,3,4,5
Heartattack,Consume lots of fruits and vegetables,Regular yoga practices,Drink lots of water,Consume low-fat dairy products ,
Varicoseveins,Start your day with a glass of water and consume plenty of ater daily,Avoid sodium rich foods,A high-fiber diet can also help you maintain a healthy weight and prevent varicose veins,"Consume garlic,spinach,citrus fruits etc",
Hypothyroidism,Exercise regularly to loose unhealthy weight,"Consume proteins,healthy fats,cooked cruciferous vgetables etc",Drink plenty of water,"Avoid eggs,dry fruits,chocolates,coffee,alchohol etc",
Hyperthyroidism,A low-iodine diet,"Selenium-rich foods such as rice,mushroom etc may help to balance thyroid hormone levels ","Calcium-rich foods such as mushroom,spinach,collard greens etc",Avoid the seafood ,
Hypoglycemia,Reduce or eliminate processed and refined sugars from your diet,"Reduce or eliminate alcoholic drinks, and never mix alcohol with sugar-filled mixers, such as fruit juice","Eat small meals every 3 to 4 hours throughout the day, rather than 3 large meals per day",Exercise regularly,Consume foods rich in glucose
Osteoarthristis,Aim to eat at least one portion of oily fish per week,Consume milk.ypgurt and cheese,"Consume leafy vegetables such as spinach,collard greens etc","Avoid sugar,saturated fat,refined carbohydrates ",Selecting wholemeal options over those containing refined flour
Arthritis,,,,,
(vertigo) Paroymsal  Positional Vertigo,,,,,
Acne,,,,,
Urinary tract infection,,,,,
Psoriasis,,,,,
Impetigo,,,,,
